exp_id	course_name	test_type	question_id	question_content	choice_id	choice_content
1	star	post	5	How does a double slit leave its imprint?	2	Concentric rings
1	star	post	5	How does a double slit leave its imprint?	3	Dashed four-pointed star
1	star	post	5	How does a double slit leave its imprint?	4	Dashed six-pointed star
1	star	post	6	Mark the INCORRECT sentence.	1	Only humans see pointy stars
1	star	post	6	Mark the INCORRECT sentence.	2	The right and left eye of a person sees a slightly different star-like smear
1	star	post	6	Mark the INCORRECT sentence.	3	Any particular eye sees the same star shape for every star
1	star	post	6	Mark the INCORRECT sentence.	4	None of the options are incorrect.
1	star	post	7	__________ is the slight bending of light as it passes around the edge of an object.	1	Diffraction
1	star	post	7	__________ is the slight bending of light as it passes around the edge of an object.	2	Scattering
1	star	post	7	__________ is the slight bending of light as it passes around the edge of an object.	3	Reflection
1	star	post	7	__________ is the slight bending of light as it passes around the edge of an object.	4	Refraction
1	star	post	8	Diffraction bends longer wavelength _____ light more than _____ light.	1	red; blue
1	star	post	8	Diffraction bends longer wavelength _____ light more than _____ light.	2	blue; yellow
1	star	post	8	Diffraction bends longer wavelength _____ light more than _____ light.	3	green; red
1	star	post	8	Diffraction bends longer wavelength _____ light more than _____ light.	4	green; yellow
1	star	post	9	What is the shape of stars in Hubble space telescope photos?	1	Four pointed
1	star	post	9	What is the shape of stars in Hubble space telescope photos?	2	Concentric rings
1	star	post	9	What is the shape of stars in Hubble space telescope photos?	3	Six pointed
1	star	post	9	What is the shape of stars in Hubble space telescope photos?	4	Series of dashes
1	star	post	10	What is the diffraction imprint of a circle?	1	Concentric rings
1	star	post	10	What is the diffraction imprint of a circle?	2	Dashed lines
1	star	post	10	What is the diffraction imprint of a circle?	3	4-pointed perpendicular lines
1	star	post	10	What is the diffraction imprint of a circle?	4	Dashed rings
1	star	post	11	What causes “suture lines”?	1	Where the fibers that make up the eye’s lens meet
1	star	post	11	What causes “suture lines”?	2	Health problems
1	star	post	11	What causes “suture lines”?	3	Short-sightedness
1	star	post	11	What causes “suture lines”?	4	All options are correct
1	star	post	12	How do scientists test that individual suture lines are the cause of subject-specific diffraction patterns?	1	Shine a laser into people’s eyes
1	star	post	12	How do scientists test that individual suture lines are the cause of subject-specific diffraction patterns?	2	Measure the pattern of suture lines in an individual’s eyes
1	star	post	12	How do scientists test that individual suture lines are the cause of subject-specific diffraction patterns?	3	Compare left and right eye shapes
1	star	post	12	How do scientists test that individual suture lines are the cause of subject-specific diffraction patterns?	4	Photograph the iris patterns and compare to star shapes
1	bulb	pre	1	What kind of light bulbs are the most common in homes?	1	Incandescent bulbs
1	bulb	pre	1	What kind of light bulbs are the most common in homes?	2	Fluorescent bulbs
1	bulb	pre	1	What kind of light bulbs are the most common in homes?	3	Light Emitting Diodes
1	bulb	pre	1	What kind of light bulbs are the most common in homes?	4	Halogen light bulbs
1	bulb	pre	2	What kind of light bulb is the most efficient?	1	Light Emitting Diodes
1	bulb	pre	2	What kind of light bulb is the most efficient?	2	Incandescent bulbs
1	bulb	pre	2	What kind of light bulb is the most efficient?	3	Fluorescent bulbs
1	bulb	pre	2	What kind of light bulb is the most efficient?	4	Other
1	bulb	pre	3	What is the efficiency % of the incandescent light bulb?	1	Less than 10%
1	bulb	pre	3	What is the efficiency % of the incandescent light bulb?	2	30 percent
1	bulb	pre	3	What is the efficiency % of the incandescent light bulb?	3	50 percent
1	bulb	pre	3	What is the efficiency % of the incandescent light bulb?	4	80 percent
1	bulb	pre	4	Mark the INCORRECT sentence	1	Light bulbs are only ever used for the purpose of lighting the environment
1	bulb	pre	4	Mark the INCORRECT sentence	2	Almost half of the electricity used by industry is for lighting
1	bulb	pre	4	Mark the INCORRECT sentence	3	Some light bulbs contain gas inside of the bulbs
1	bulb	pre	4	Mark the INCORRECT sentence	4	Prior to 1900 electric light bulbs did not have filaments
1	bulb	pre	5	What percent of home electric bills is due to electric lights?	1	25 percent
1	bulb	pre	5	What percent of home electric bills is due to electric lights?	2	90 percent
1	bulb	pre	5	What percent of home electric bills is due to electric lights?	3	50 percent
1	bulb	pre	5	What percent of home electric bills is due to electric lights?	4	5 percent
1	bulb	pre	6	What is the electrical voltage used for most common US domestic appliances?	1	120 V
1	bulb	pre	6	What is the electrical voltage used for most common US domestic appliances?	2	110 V
1	bulb	pre	6	What is the electrical voltage used for most common US domestic appliances?	3	220 V
1	bulb	pre	6	What is the electrical voltage used for most common US domestic appliances?	4	230 V
1	bulb	pre	7	What is the average lifespan of an incandescent light bulb?	1	1200 hours
1	bulb	pre	7	What is the average lifespan of an incandescent light bulb?	2	500 hours
1	bulb	pre	7	What is the average lifespan of an incandescent light bulb?	3	2000 hours
1	bulb	pre	7	What is the average lifespan of an incandescent light bulb?	4	3000 hours
1	bulb	pre	8	Light bulbs produce light and….	1	Heat
1	bulb	pre	8	Light bulbs produce light and….	2	Electrons
1	bulb	pre	8	Light bulbs produce light and….	3	Protons
1	bulb	pre	8	Light bulbs produce light and….	4	They only produce light
1	bulb	pre	9	What is the metal piece inside of a light bulb called?	1	Filament
1	bulb	pre	9	What is the metal piece inside of a light bulb called?	2	Filling
1	bulb	pre	9	What is the metal piece inside of a light bulb called?	3	Electrode
1	bulb	pre	9	What is the metal piece inside of a light bulb called?	4	Semiconducting crystal
1	bulb	pre	10	Fill in the blanks: Light bulbs convert _______ energy into ________ energy.	1	electrical; light
1	bulb	pre	10	Fill in the blanks: Light bulbs convert _______ energy into ________ energy.	2	electrical; chemical
1	bulb	pre	10	Fill in the blanks: Light bulbs convert _______ energy into ________ energy.	3	kinetic; potential
1	bulb	pre	10	Fill in the blanks: Light bulbs convert _______ energy into ________ energy.	4	All options are correct
1	bulb	post	1	When was the incandescent light bulb created?	1	19th Century
1	bulb	post	1	When was the incandescent light bulb created?	2	18th Century
1	bulb	post	1	When was the incandescent light bulb created?	3	17th Century
1	bulb	post	1	When was the incandescent light bulb created?	4	20th Century
1	bulb	post	2	The bulb does all of the following EXCEPT:	1	Increases the brightness of the light emitted
1	bulb	post	2	The bulb does all of the following EXCEPT:	2	Allows the filament to produce light more efficiently
1	bulb	post	2	The bulb does all of the following EXCEPT:	3	Prevents gas from escaping from inside the bulb
1	bulb	post	2	The bulb does all of the following EXCEPT:	4	Prevents oxygen from reaching the filament
1	bulb	post	3	What is the role of the halogen gas in halogen bulbs?	1	All options are correct
1	bulb	post	3	What is the role of the halogen gas in halogen bulbs?	2	Keep the light bulb clean
1	bulb	post	3	What is the role of the halogen gas in halogen bulbs?	3	Prevent the wire from burning out
1	bulb	post	3	What is the role of the halogen gas in halogen bulbs?	4	Helps redeposit atoms back onto the filament
1	bulb	post	4	Which gas exists in halogen light bulbs?	1	Hydrogen bromide
1	bulb	post	4	Which gas exists in halogen light bulbs?	2	Mercury chloride
1	bulb	post	4	Which gas exists in halogen light bulbs?	3	Nitrogen bromide
1	bulb	post	4	Which gas exists in halogen light bulbs?	4	Nitrogen fluoride
1	bulb	post	5	Why don’t vapor lamps need a fluorescent coating?	1	Because they emit mainly visible light
1	bulb	post	5	Why don’t vapor lamps need a fluorescent coating?	2	Because they don’t use gas
1	bulb	post	5	Why don’t vapor lamps need a fluorescent coating?	3	Because they don’t have a bulb
1	bulb	post	5	Why don’t vapor lamps need a fluorescent coating?	4	All options are correct
1	bulb	post	6	What happens when the electrons bump into the mercury atoms in the fluorescent bulbs?	1	The energy of the collision makes the atoms get excited
1	bulb	post	6	What happens when the electrons bump into the mercury atoms in the fluorescent bulbs?	2	The energy of the collision makes the atoms relax
1	bulb	post	6	What happens when the electrons bump into the mercury atoms in the fluorescent bulbs?	3	The energy of the collision makes the atoms keep the inside of the bulb clean
1	bulb	post	6	What happens when the electrons bump into the mercury atoms in the fluorescent bulbs?	4	The energy of the collision splits the atom and releases energy
1	bulb	post	7	Which of the following statements best describes the reactions that emit light within a fluorescent tube?	1	Electrons in the electrical current collide with mercury gas atoms, causing the atoms to emit light in their excited state
1	bulb	post	7	Which of the following statements best describes the reactions that emit light within a fluorescent tube?	2	Chlorine gas in the tubes excites the electrons in the electrical current to emit light
1	bulb	post	7	Which of the following statements best describes the reactions that emit light within a fluorescent tube?	3	Chemical reactions cause the hydrogen atoms in the tube to collide with the electrons, which emit light in their excited state
1	bulb	post	7	Which of the following statements best describes the reactions that emit light within a fluorescent tube?	4	None of the options are correct
1	bulb	post	8	What is fluorescence?	1	The process of absorbing ultraviolet light and re-emitting it as more visible light
1	bulb	post	8	What is fluorescence?	2	The process of converting electrical current into visible light
1	bulb	post	8	What is fluorescence?	3	The process of capturing the atoms that evaporates of the filament and put them back where they belong
1	bulb	post	8	What is fluorescence?	4	The process of keeping the inside of the bulb clean and clear
1	bulb	post	9	Suppose you have a large warehouse or a street that you need to light, which one of the following would you use?	1	Vapor lamps
1	bulb	post	9	Suppose you have a large warehouse or a street that you need to light, which one of the following would you use?	2	LED
1	bulb	post	9	Suppose you have a large warehouse or a street that you need to light, which one of the following would you use?	3	Any light producing source
1	bulb	post	9	Suppose you have a large warehouse or a street that you need to light, which one of the following would you use?	4	Halogens
1	bulb	post	10	The LED semiconductors has 2 layers, one ____________ while the other ____________.	1	Provides electrons with a lot of energy, Provides a place for the electrons to relax
1	bulb	post	10	The LED semiconductors has 2 layers, one ____________ while the other ____________.	2	Provides tungsten atoms, Provides a place for the electrons relax
1	bulb	post	10	The LED semiconductors has 2 layers, one ____________ while the other ____________.	3	Provides electrons with a lot of energy, Provides a place for the electrons absorb energy
1	bulb	post	10	The LED semiconductors has 2 layers, one ____________ while the other ____________.	4	None of options are correct
1	bulb	post	11	How does a crystal of semiconducting gallium interact to form light in an LED bulb? Choose the best answer.	1	Electrons are transported from one end of the diode to the other and emit light
1	bulb	post	11	How does a crystal of semiconducting gallium interact to form light in an LED bulb? Choose the best answer.	2	Electrical current moves electrons from a relaxed state to an excited state, which results in light
1	bulb	post	11	How does a crystal of semiconducting gallium interact to form light in an LED bulb? Choose the best answer.	3	Thermal energy transports the electrons from a higher state of energy to a lower state of energy, emitting light
1	bulb	post	11	How does a crystal of semiconducting gallium interact to form light in an LED bulb? Choose the best answer.	4	None of the options are correct
1	immune	pre	1	Which of the following is NOT a function of the human body's immune system?	1	The immune system often causes one to contract the same illness a second time after warding off an infection.
1	immune	pre	1	Which of the following is NOT a function of the human body's immune system?	2	The immune system attacks organisms and substances that invade body systems and cause disease.
1	immune	pre	1	Which of the following is NOT a function of the human body's immune system?	3	The immune system is made up of a network of cells, tissues, and organs that work together to protect the body.
1	immune	pre	1	Which of the following is NOT a function of the human body's immune system?	4	The immune system is a host defense system comprising many biological structures and processes within an organism.
1	immune	pre	2	Which of the following cells could be found in the human immune system:	1	Dendritic
1	immune	pre	2	Which of the following cells could be found in the human immune system:	2	Antibodies
1	immune	pre	2	Which of the following cells could be found in the human immune system:	3	Hair cells
1	immune	pre	2	Which of the following cells could be found in the human immune system:	4	All options are correct
1	immune	pre	3	An antigen is a molecule capable of inducing an immune response on the part of the host organism,though sometimes antigens can be part of the host itself. Mark the one which is not an antigen	1	Antibodies
1	immune	pre	3	An antigen is a molecule capable of inducing an immune response on the part of the host organism,though sometimes antigens can be part of the host itself. Mark the one which is not an antigen	2	Bacteria
1	immune	pre	3	An antigen is a molecule capable of inducing an immune response on the part of the host organism,though sometimes antigens can be part of the host itself. Mark the one which is not an antigen	3	Virus
1	immune	pre	3	An antigen is a molecule capable of inducing an immune response on the part of the host organism,though sometimes antigens can be part of the host itself. Mark the one which is not an antigen	4	Fungi
1	immune	pre	4	An autoimmune disorder occurs when a person's immune system mistakenly attacks their own body tissues.Which of the disorders below is NOT an autoimmune disorder?	1	Osteoporosis
1	immune	pre	4	An autoimmune disorder occurs when a person's immune system mistakenly attacks their own body tissues.Which of the disorders below is NOT an autoimmune disorder?	2	Multiple sclerosis
1	immune	pre	4	An autoimmune disorder occurs when a person's immune system mistakenly attacks their own body tissues.Which of the disorders below is NOT an autoimmune disorder?	3	Lupus
1	immune	pre	4	An autoimmune disorder occurs when a person's immune system mistakenly attacks their own body tissues.Which of the disorders below is NOT an autoimmune disorder?	4	Asthma
1	immune	pre	5	Mark the INCORRECT sentence about inflammation	1	Inflammation is a synonym for infection
1	immune	pre	5	Mark the INCORRECT sentence about inflammation	2	Inflammation is part of the complex biological response of body tissues to harmful stimuli
1	immune	pre	5	Mark the INCORRECT sentence about inflammation	3	Inflammation involves immune cells, blood vessels, and molecular mediators
1	immune	pre	5	Mark the INCORRECT sentence about inflammation	4	The function of inflammation is to eliminate the initial cause of cell injury and clear out tissues damaged
1	immune	pre	6	Mark the INCORRECT sentence:	1	All germs are bad
1	immune	pre	6	Mark the INCORRECT sentence:	2	Vaccines educate your immune system
1	immune	pre	6	Mark the INCORRECT sentence:	3	Sleep deprivation can impact immunity
1	immune	pre	6	Mark the INCORRECT sentence:	4	Your immune system can attack itself
1	immune	pre	7	Which of the following options could be a possible cause for inflammation?	1	All options are correct
1	immune	pre	7	Which of the following options could be a possible cause for inflammation?	2	Physical injury, blunt or penetrating
1	immune	pre	7	Which of the following options could be a possible cause for inflammation?	3	Frostbite
1	immune	pre	7	Which of the following options could be a possible cause for inflammation?	4	Burn
1	immune	pre	8	Which of the names below does NOT correspond to a type of inflammation?	1	Hekelitis
1	immune	pre	8	Which of the names below does NOT correspond to a type of inflammation?	2	Rhinitis
1	immune	pre	8	Which of the names below does NOT correspond to a type of inflammation?	3	Appendicitis
1	immune	pre	8	Which of the names below does NOT correspond to a type of inflammation?	4	Dermatitis
1	immune	pre	9	Mark the INCORRECT sentence about the immune system	1	Stress does not affect the way your immune system works
1	immune	pre	9	Mark the INCORRECT sentence about the immune system	2	Your immune system can attack itself
1	immune	pre	9	Mark the INCORRECT sentence about the immune system	3	Your immune system may suffer from lack of sleep
1	immune	pre	9	Mark the INCORRECT sentence about the immune system	4	Disease symptoms are sometimes the result of your immune system doing its job
1	immune	post	1	Mark the option below that corresponds to a job that is NOT executed by the immune system.	1	Produce fungi
1	immune	post	1	Mark the option below that corresponds to a job that is NOT executed by the immune system.	2	Produce antibodies
1	immune	post	1	Mark the option below that corresponds to a job that is NOT executed by the immune system.	3	Kill enemies
1	immune	post	1	Mark the option below that corresponds to a job that is NOT executed by the immune system.	4	Communicate
1	immune	post	2	Approximately how many body cells die fighting an infection?	1	Millions
1	immune	post	2	Approximately how many body cells die fighting an infection?	2	Billions
1	immune	post	2	Approximately how many body cells die fighting an infection?	3	Thousands
1	immune	post	2	Approximately how many body cells die fighting an infection?	4	Hundreds
1	immune	post	3	What is the first cell type to intervene during a bacterial invasion?	1	Guard cells / macrophage
1	immune	post	3	What is the first cell type to intervene during a bacterial invasion?	2	Memory cells
1	immune	post	3	What is the first cell type to intervene during a bacterial invasion?	3	B-cells
1	immune	post	3	What is the first cell type to intervene during a bacterial invasion?	4	Dendritic cells
1	immune	post	4	What is the main job of the macrophage cell?	1	To kill enemies
1	immune	post	4	What is the main job of the macrophage cell?	2	To cause inflammation
1	immune	post	4	What is the main job of the macrophage cell?	3	To activate cells
1	immune	post	4	What is the main job of the macrophage cell?	4	All  options are correct
1	immune	post	5	Approximately how long does it take bacteria to double its population in the bloodstream?	1	20 minutes
1	immune	post	5	Approximately how long does it take bacteria to double its population in the bloodstream?	2	30 minutes
1	immune	post	5	Approximately how long does it take bacteria to double its population in the bloodstream?	3	30 seconds
1	immune	post	5	Approximately how long does it take bacteria to double its population in the bloodstream?	4	20 seconds
1	immune	post	6	When T-cells are born they go through a very difficult and complicated training process.  How many of them survive?	1	A quarter of them
1	immune	post	6	When T-cells are born they go through a very difficult and complicated training process.  How many of them survive?	2	Half of them
1	immune	post	6	When T-cells are born they go through a very difficult and complicated training process.  How many of them survive?	3	All of them
1	immune	post	6	When T-cells are born they go through a very difficult and complicated training process.  How many of them survive?	4	None of the options are correct
1	immune	post	7	Which of the following is INCORRECT about B-cells?	1	B-cells send chemical instructions to the rest of the immune system.
1	immune	post	7	Which of the following is INCORRECT about B-cells?	2	The B-cells are activated by the T-cells
1	immune	post	7	Which of the following is INCORRECT about B-cells?	3	The B-cells are considered a very powerful weapons factory
1	immune	post	7	Which of the following is INCORRECT about B-cells?	4	B-cells work so hard that they can literally die from exhaustion
1	immune	post	8	Mark the INCORRECT option about antibodies.	1	They are produced by the dendritic cells
1	immune	post	8	Mark the INCORRECT option about antibodies.	2	They are engineered to bind to the  surface of a specific intruder
1	immune	post	8	Mark the INCORRECT option about antibodies.	3	There are different kinds of antibodies that have slightly different jobs
1	immune	post	8	Mark the INCORRECT option about antibodies.	4	They flood the blood and saturate the body
1	immune	post	9	After the infection is wiped out most of the immune cells commit suicide. What are the cells that stay behind?	1	Memory cells
1	immune	post	9	After the infection is wiped out most of the immune cells commit suicide. What are the cells that stay behind?	2	Dendritic cells
1	immune	post	9	After the infection is wiped out most of the immune cells commit suicide. What are the cells that stay behind?	3	Macrophage cells
1	immune	post	9	After the infection is wiped out most of the immune cells commit suicide. What are the cells that stay behind?	4	All options are correct
1	immune	post	10	B cells are prevented from dying by:	1	T cells
1	immune	post	10	B cells are prevented from dying by:	2	Antibodies
1	immune	post	10	B cells are prevented from dying by:	3	Helper B-cells
1	immune	post	10	B cells are prevented from dying by:	4	Any white cell
1	immune	post	11	Neutrophile cells commit suicide after __ in order to _______?	1	5 days; prevent them from causing too much damage
1	immune	post	11	Neutrophile cells commit suicide after __ in order to _______?	2	5 hours; avoid wasting resources
1	immune	post	11	Neutrophile cells commit suicide after __ in order to _______?	3	The invading bacteria is defeated; prevent them from causing too much damage
1	immune	post	11	Neutrophile cells commit suicide after __ in order to _______?	4	4 days; avoid wasting resources
1	immune	post	12	How long does it take for Dendritic cells to travel to the lymph nodes?	1	1 day
1	immune	post	12	How long does it take for Dendritic cells to travel to the lymph nodes?	2	1 hour
1	immune	post	12	How long does it take for Dendritic cells to travel to the lymph nodes?	3	12 hours
1	immune	post	12	How long does it take for Dendritic cells to travel to the lymph nodes?	4	More than 2 days
1	internet	pre	1	Mark the INCORRECT sentence.	1	30% of American adults do not use the Internet
1	internet	pre	1	Mark the INCORRECT sentence.	2	People spend more time browsing the web on mobile devices rather than on desktop computers
1	internet	pre	1	Mark the INCORRECT sentence.	3	The majority of internet traffic is not generated by humans, but by bots and malware
1	internet	pre	1	Mark the INCORRECT sentence.	4	There are treatment camps for internet addicts
1	internet	pre	2	What does HTTP mean?	1	HyperText Transfer Protocol
1	internet	pre	2	What does HTTP mean?	2	HyperText Transfer Process
1	internet	pre	2	What does HTTP mean?	3	HyperTool Transfer Protocol
1	internet	pre	2	What does HTTP mean?	4	None of the options are correct
1	internet	pre	3	What does HTML mean?	1	HyperText Markup Language
1	internet	pre	3	What does HTML mean?	2	HyperText Markup Logistics
1	internet	pre	3	What does HTML mean?	3	HyperTool Markup Language
1	internet	pre	3	What does HTML mean?	4	None of the options are correct
1	internet	pre	4	What does URL mean?	1	Uniform Resource Locator
1	internet	pre	4	What does URL mean?	2	Uniform Resource Language
1	internet	pre	4	What does URL mean?	3	Uniform Rapid Locator
1	internet	pre	4	What does URL mean?	4	None of the options are correct
1	internet	pre	5	Which of the names below do NOT correspond to a browser?	1	Yahoo
1	internet	pre	5	Which of the names below do NOT correspond to a browser?	2	Mozilla Firefox
1	internet	pre	5	Which of the names below do NOT correspond to a browser?	3	Safari
1	internet	pre	5	Which of the names below do NOT correspond to a browser?	4	Google Chrome
1	internet	pre	6	What country has the fastest internet connection in the world?	1	South Korea
1	internet	pre	6	What country has the fastest internet connection in the world?	2	United States of America
1	internet	pre	6	What country has the fastest internet connection in the world?	3	Finland
1	internet	pre	6	What country has the fastest internet connection in the world?	4	Norway
1	internet	pre	7	How many websites  are there on internet?	1	Around 1 billion
1	internet	pre	7	How many websites  are there on internet?	2	Around 100 million
1	internet	pre	7	How many websites  are there on internet?	3	Around 500 million
1	internet	pre	7	How many websites  are there on internet?	4	Around 10 billion
1	internet	pre	8	In general, all of the following use IP addresses EXCEPT:	1	A personal computer that is not connected to the internet
1	internet	pre	8	In general, all of the following use IP addresses EXCEPT:	2	A website
1	internet	pre	8	In general, all of the following use IP addresses EXCEPT:	3	A server computer hosting a website
1	internet	pre	8	In general, all of the following use IP addresses EXCEPT:	4	A personal computer used to access the Internet
1	internet	pre	9	When was the first tweet sent on twitter?	1	In the year 2006
1	internet	pre	9	When was the first tweet sent on twitter?	2	In the year 2002
1	internet	pre	9	When was the first tweet sent on twitter?	3	In the year 2010
1	internet	pre	9	When was the first tweet sent on twitter?	4	In the year 1999
1	internet	post	1	When did networks begin communicating with each other?	1	During 1975
1	internet	post	1	When did networks begin communicating with each other?	2	During 1940
1	internet	post	1	When did networks begin communicating with each other?	3	During 1950
1	internet	post	1	When did networks begin communicating with each other?	4	During 1980
1	internet	post	2	Mark the correct options about emails.	1	All options are correct
1	internet	post	2	Mark the correct options about emails.	2	Most internet traffic in 1976 was email
1	internet	post	2	Mark the correct options about emails.	3	Email was developed for the ARPANET
1	internet	post	2	Mark the correct options about emails.	4	Email was developed in 1972
1	internet	post	3	Most internet traffic during the 1970’s was:	1	Written communication
1	internet	post	3	Most internet traffic during the 1970’s was:	2	Sharing digital images
1	internet	post	3	Most internet traffic during the 1970’s was:	3	Statistical data sets
1	internet	post	3	Most internet traffic during the 1970’s was:	4	Website retrievals
1	internet	post	4	According to the video, what is packet switching?	1	Both options are correct
1	internet	post	4	According to the video, what is packet switching?	2	Both options are  incorrect
1	internet	post	4	According to the video, what is packet switching?	3	Cutting up data at one end and putting it back together at the other  
1	internet	post	4	According to the video, what is packet switching?	4	A way of avoiding congestion in busy networks
1	internet	post	5	When and where was the World Wide Web first launched?	1	1991; France
1	internet	post	5	When and where was the World Wide Web first launched?	2	1980; Russia
1	internet	post	5	When and where was the World Wide Web first launched?	3	1989; U.S.A.
1	internet	post	5	When and where was the World Wide Web first launched?	4	1995; England
1	internet	post	6	Why didn’t the commercial network in Britain get developed?	1	It lacked funding
1	internet	post	6	Why didn’t the commercial network in Britain get developed?	2	It didn’t work
1	internet	post	6	Why didn’t the commercial network in Britain get developed?	3	It was not finished
1	internet	post	6	Why didn’t the commercial network in Britain get developed?	4	None of the options are correct
1	internet	post	7	What was the goal of the first network?	1	Optimizing processor usage
1	internet	post	7	What was the goal of the first network?	2	Facilitating communication
1	internet	post	7	What was the goal of the first network?	3	Sharing research materials
1	internet	post	7	What was the goal of the first network?	4	Espionage
1	internet	post	8	How did time sharing change the efficiency of mainframe computers?	1	The mainframes could process several pieces of data at once, so that multiple scientists could use it at the same time
1	internet	post	8	How did time sharing change the efficiency of mainframe computers?	2	It connected multiple mainframe computers together, resulting in increased communication between scientists
1	internet	post	8	How did time sharing change the efficiency of mainframe computers?	3	It cut up data at one end and joined it at the other
1	internet	post	8	How did time sharing change the efficiency of mainframe computers?	4	All options are correct
1	internet	post	9	What were the three main computer networks mentioned in the video, each of which was located in a different country?	1	CYCLADES, ARPANET, NPL
1	internet	post	9	What were the three main computer networks mentioned in the video, each of which was located in a different country?	2	HTML, CYCLADES, NPL
1	internet	post	9	What were the three main computer networks mentioned in the video, each of which was located in a different country?	3	TCP, HTML, ARPANET
1	internet	post	9	What were the three main computer networks mentioned in the video, each of which was located in a different country?	4	NPL, TCP, WWW
1	internet	post	10	What is the name of the first network?	1	ARPANET
1	internet	post	10	What is the name of the first network?	2	WWW
1	internet	post	10	What is the name of the first network?	3	CYCLADES
1	internet	post	10	What is the name of the first network?	4	HTML
1	internet	post	11	For what primary reason did Tim Berners-Lee created the World Wide Web? Choose the best answer.	1	He wanted to create a platform for information to be organized and shared easily
